party_id,left_right,state_market,liberty_authority,eu_anti_pro,calculation_date
2,7.4,6.4,7.0,7.9,2019-05-20 19:15:47
3,6.2,5.7,7.2,8.3,2019-05-20 19:15:47
4,7.4,6.4,7.0,,2019-05-20 19:15:47
5,4.7622,4.7538,6.2779,8.2028,2019-05-20 19:15:47
6,9.3421,6.5789,7.1053,,2019-05-20 19:15:47
11,1.3,1.4,3.0,3.3,2019-05-20 19:15:47
15,6.86,6.29,6.33,7.7833,2019-05-20 19:15:47
16,6.6953,5.0282,7.6299,6.8549,2019-05-20 19:15:47
17,,,,,2019-05-20 19:15:47
18,3.3,3.5,3.5,8.1,2019-05-20 19:15:47
19,,,,,2019-05-20 19:15:47
20,8.5,3.75,8.62,3.45,2019-05-20 19:15:47
21,2.5,2.5,1.8,6.5,2019-05-20 19:15:47
25,,,,,2019-05-20 19:15:47
26,6.3249,8.0105,3.4159,6.4439,2019-05-20 19:15:47
27,1.3,1.4,3.0,0.0,2019-05-20 19:15:47
28,3.865,3.9,7.325,7.4667,2019-05-20 19:15:47
29,8.8,5.9,8.5,2.3,2019-05-20 19:15:47
30,,,,,2019-05-20 19:15:47
31,,,,,2019-05-20 19:15:47
32,1.864,2.1751,5.2767,5.7675,2019-05-20 19:15:47
35,1.8319,1.7579,1.2281,9.0614,2019-05-20 19:15:47
41,7.4,6.4,7.0,7.9,2019-05-20 19:15:47
42,,,,,2019-05-20 19:15:47
44,0.5275,0.937,4.5302,3.5075,2019-05-20 19:15:47
47,6.7365,6.9754,6.6712,8.9869,2019-05-20 19:15:47
50,8.3494,6.3291,8.5149,1.9815,2019-05-20 19:15:47
52,6.2,5.7,7.2,8.3,2019-05-20 19:15:47
53,1.3,1.4,3.0,,2019-05-20 19:15:47
55,3.3,3.5,3.5,8.1,2019-05-20 19:15:47
57,7.85,7.83,4.5,8.9667,2019-05-20 19:15:47
58,,,,,2019-05-20 19:15:47
59,7.0577,7.7993,6.1743,8.246,2019-05-20 19:15:47
61,6.0,6.7,3.5,,2019-05-20 19:15:47
62,6.2,5.7,7.2,8.3,2019-05-20 19:15:47
63,6.0,6.7,3.5,8.7,2019-05-20 19:15:47
64,3.0526,2.5965,1.7544,8.1754,2019-05-20 19:15:47
65,,,,,2019-05-20 19:15:47
66,,,,,2019-05-20 19:15:47
67,7.4,6.4,7.0,7.9,2019-05-20 19:15:47
73,,,,,2019-05-20 19:15:47
74,3.3,3.5,3.5,8.1,2019-05-20 19:15:47
77,3.3,3.5,3.5,8.1,2019-05-20 19:15:47
81,1.5839,1.3534,1.5038,1.1568,2019-05-20 19:15:47
82,,,,7.5,2019-05-20 19:15:47
86,3.3,3.5,3.5,,2019-05-20 19:15:47
87,7.4,6.4,7.0,7.9,2019-05-20 19:15:47
90,3.7719,6.7544,3.2456,8.6842,2019-05-20 19:15:47
92,7.4,6.4,7.0,7.9,2019-05-20 19:15:47
93,4.9704,5.8,5.1667,9.0278,2019-05-20 19:15:47
94,5.8027,4.9349,7.2203,5.5267,2019-05-20 19:15:47
95,9.6065,3.807,9.5894,0.9358,2019-05-20 19:15:47
