election_year,country_name,party_id,family_name,eu_anti_pro,left_right,liberty_authority,seats,vote_share
1900,Belgium,63,Liberal,8.7,6.0,3.5,31.0,22.7
1900,Belgium,2422,Social democracy,8.1,3.3,3.5,32.0,22.5
1900,Belgium,2423,Christian democracy,8.3,6.2,7.2,86.0,48.5
1900,Belgium,2481,Christian democracy,8.3,6.2,7.2,1.0,2.5
1900,Belgium,2488,no family,8.3,6.2,7.2,2.0,2.5
1901,Denmark,590,Conservative,7.7791,7.2186,6.5055,8.0,24.04
1901,Denmark,1605,Liberal,9.0268,7.292000000000001,4.9957,76.0,42.87
1901,Denmark,1629,Social democracy,7.4311,3.8011,4.2722,14.0,17.06
1901,Denmark,2430,Liberal,8.7,6.0,3.5,16.0,11.4
1902,Belgium,63,Liberal,8.7,6.0,3.5,20.0,25.1
1902,Belgium,2422,Social democracy,8.1,3.3,3.5,10.0,15.0
1902,Belgium,2423,Christian democracy,8.3,6.2,7.2,54.0,56.0
1902,Belgium,2481,Christian democracy,8.3,6.2,7.2,1.0,2.5
1902,France,401,Conservative,7.9361,3.9896,4.2381,75.0,10.14
1902,France,1539,Social democracy,7.9448,3.2493,2.9367,45.0,6.31
1902,France,2585,Conservative,7.9,7.4,7.0,117.0,16.81
1902,France,2587,Liberal,8.7,6.0,3.5,175.0,29.73
1902,France,2589,Conservative,7.9,7.4,7.0,145.0,14.12
1902,France,2590,Communist/Socialist,3.3,1.3,3.0,0.0,4.09
1902,France,2592,Liberal,8.7,6.0,3.5,18.0,4.59
1903,Denmark,590,Conservative,7.7791,7.2186,6.5055,12.0,20.49
1903,Denmark,1128,no family,7.7791,7.2186,6.5055,1.0,20.49
1903,Denmark,1605,Liberal,9.0268,7.292000000000001,4.9957,73.0,47.14
1903,Denmark,1629,Social democracy,7.4311,3.8011,4.2722,16.0,20.07
1903,Denmark,2430,Liberal,8.7,6.0,3.5,12.0,7.99
1904,Belgium,63,Liberal,8.7,6.0,3.5,22.0,25.4
1904,Belgium,2300,no family,8.7,6.0,3.5,1.0,2.9
1904,Belgium,2422,Social democracy,8.1,3.3,3.5,19.0,25.98
1904,Belgium,2423,Christian democracy,8.3,6.2,7.2,38.0,43.5
1904,Belgium,2481,Christian democracy,8.3,6.2,7.2,1.0,1.8
1906,Belgium,63,Liberal,8.7,6.0,3.5,15.0,17.7
1906,Belgium,1335,Social democracy,8.1,3.3,3.5,14.0,19.1
1906,Belgium,2422,Social democracy,8.1,3.3,3.5,6.0,6.2
1906,Belgium,2423,Christian democracy,8.3,6.2,7.2,50.0,54.3
1906,Belgium,2481,Christian democracy,8.3,6.2,7.2,0.0,1.0
1906,Denmark,211,Liberal,7.8594,4.8736,2.3903,9.0,12.6
1906,Denmark,590,Conservative,7.7791,7.2186,6.5055,12.0,21.0
1906,Denmark,1128,no family,7.7791,7.2186,6.5055,4.0,3.0
1906,Denmark,1605,Liberal,9.0268,7.292000000000001,4.9957,56.0,31.2
1906,Denmark,1629,Social democracy,7.4311,3.8011,4.2722,24.0,25.4
1906,Denmark,2430,Liberal,8.7,6.0,3.5,9.0,6.8
1906,France,401,Conservative,7.9361,3.9896,4.2381,239.0,28.53
1906,France,1539,Social democracy,7.9448,3.2493,2.9367,53.0,9.95
1906,France,2585,Conservative,7.9,7.4,7.0,39.0,7.85
1906,France,2586,Conservative,7.9,7.4,7.0,67.0,14.06
1906,France,2587,Liberal,8.7,6.0,3.5,52.0,7.99
1906,France,2589,Conservative,7.9,7.4,7.0,107.0,29.18
1906,France,2590,Communist/Socialist,3.3,1.3,3.0,18.0,2.33
1908,Belgium,63,Liberal,8.7,6.0,3.5,22.0,27.6
1908,Belgium,1335,Social democracy,8.1,3.3,3.5,3.0,3.3
1908,Belgium,2422,Social democracy,8.1,3.3,3.5,19.0,22.6
1908,Belgium,2423,Christian democracy,8.3,6.2,7.2,37.0,43.1
1908,Belgium,2481,Christian democracy,8.3,6.2,7.2,1.0,2.7
1909,Denmark,211,Liberal,7.8594,4.8736,2.3903,15.0,15.5
1909,Denmark,590,Conservative,7.7791,7.2186,6.5055,21.0,19.8
1909,Denmark,1128,no family,7.7791,7.2186,6.5055,6.0,5.7
1909,Denmark,1605,Liberal,9.0268,7.292000000000001,4.9957,37.0,24.0
1909,Denmark,1629,Social democracy,7.4311,3.8011,4.2722,24.0,28.7
1909,Denmark,2430,Liberal,8.7,6.0,3.5,11.0,5.9
1910,Belgium,63,Liberal,8.7,6.0,3.5,15.0,18.6
1910,Belgium,1335,Social democracy,8.1,3.3,3.5,15.0,19.1
1910,Belgium,2422,Social democracy,8.1,3.3,3.5,6.0,6.7
1910,Belgium,2423,Christian democracy,8.3,6.2,7.2,49.0,53.1
1910,Belgium,2481,Christian democracy,8.3,6.2,7.2,0.0,2.1
1910,Denmark,211,Liberal,7.8594,4.8736,2.3903,20.0,18.6
1910,Denmark,590,Conservative,7.7791,7.2186,6.5055,13.0,18.6
1910,Denmark,1128,no family,7.7791,7.2186,6.5055,0.0,0.4
1910,Denmark,1605,Liberal,9.0268,7.292000000000001,4.9957,57.0,34.1
1910,Denmark,1629,Social democracy,7.4311,3.8011,4.2722,24.0,28.3
1910,France,1328,no family,7.4311,3.8011,4.2722,2.0,28.3
1910,France,1539,Social democracy,7.9448,3.2493,2.9367,75.0,13.15
