election_year,family_name,vote_share
1900,Christian democracy,51.0
1900,Liberal,22.7
1900,Social democracy,22.5
1900,no family,2.5
1901,Conservative,24.04
1901,Liberal,54.269999999999996
1901,Social democracy,17.06
1902,Christian democracy,58.5
1902,Communist/Socialist,4.09
1902,Conservative,41.07
1902,Liberal,59.42
1902,Social democracy,21.31
1903,Conservative,20.49
1903,Liberal,55.13
1903,Social democracy,20.07
1903,no family,20.49
1904,Christian democracy,45.3
1904,Liberal,25.4
1904,Social democracy,25.98
1904,no family,2.9
1906,Christian democracy,55.3
1906,Communist/Socialist,2.33
1906,Conservative,100.62
1906,Liberal,76.28999999999999
1906,Social democracy,60.650000000000006
1906,no family,3.0
1908,Christian democracy,45.800000000000004
1908,Liberal,27.6
1908,Social democracy,25.900000000000002
1909,Conservative,19.8
1909,Liberal,45.4
1909,Social democracy,28.7
1909,no family,5.7
1910,Christian democracy,57.010000000000005
1910,Communist/Socialist,4.09
1910,Conservative,49.01
1910,Liberal,83.36000000000001
1910,Right-wing,17.43
1910,Social democracy,87.7
1910,no family,28.7
1911,Conservative,31.2
1911,Liberal,40.2
1911,Social democracy,28.5
1912,Christian democracy,51.7
1912,Liberal,11.1
1912,Social democracy,36.400000000000006
1913,Conservative,22.4
1913,Liberal,47.3
1913,Social democracy,29.6
1913,no family,0.7
1914,Agrarian,0.2
1914,Christian democracy,44.5
1914,Conservative,87.24000000000001
1914,Liberal,63.769999999999996
1914,Right-wing,18.84
1914,Social democracy,84.19
1915,Conservative,0.2
1915,Liberal,0.4
1915,Social democracy,0.2
1915,no family,0.2
1917,Agrarian,20.78
1917,Conservative,54.870000000000005
1917,Liberal,38.5
1917,Social democracy,77.45
1918,Agrarian,0.4
1918,Christian democracy,49.9
1918,Communist/Socialist,6.8999999999999995
1918,Conservative,56.699999999999996
1918,Liberal,95.39999999999998
1918,Right-wing,2.35
1918,Social democracy,74.21000000000001
1918,no family,25.1
1919,Agrarian,19.7
1919,Christian democracy,90.35
1919,Communist/Socialist,7.63
1919,Conservative,69.8
1919,Liberal,90.79
1919,Right-wing,95.78999999999999
1919,Social democracy,200.7
1919,Special issue,2.27
1919,no family,30.46
1919,to be coded,6.2
1920,Agrarian,15.420000000000002
1920,Christian democracy,59.91
1920,Communist/Socialist,26.909999999999997
1920,Conservative,96.23666666666666
1920,Liberal,80.34333333333335
1920,Right-wing,47.44
1920,Social democracy,117.64000000000001
1920,Special issue,0.6
1920,no family,2.4433333333333334
1921,Agrarian,11.0
1921,Christian democracy,44.099999999999994
1921,Communist/Socialist,7.8
1921,Conservative,25.8
1921,Liberal,36.8
1921,Social democracy,73.9
1921,no family,0.8
1922,Agrarian,29.400000000000002
1922,Christian democracy,54.5
1922,Communist/Socialist,17.6
1922,Conservative,117.72999999999999
1922,Liberal,89.56
1922,Right-wing,65.3
1922,Social democracy,106.64999999999999
1922,no family,45.31999999999999
1922,to be coded,14.9
1923,Agrarian,12.1
1923,Christian democracy,44.05
1923,Communist/Socialist,0.2
1923,Conservative,148.75
1923,Liberal,30.599999999999998
1923,Right-wing,54.89
1923,Social democracy,81.3
1923,no family,12.48
1924,Agrarian,12.520000000000001
1924,Christian democracy,16.895
1924,Communist/Socialist,26.29
1924,Conservative,127.9
1924,Liberal,95.285
1924,Right-wing,61.23
1924,Social democracy,157.925
1924,Special issue,0.6
1924,no family,0.6
1925,Agrarian,4.4
1925,Christian democracy,89.0
1925,Communist/Socialist,2.8
1925,Conservative,2.0
1925,Liberal,46.599999999999994
1925,Right-wing,56.8
1925,Social democracy,82.4
1925,no family,32.099999999999994
1926,Communist/Socialist,0.4
1926,Conservative,20.6
1926,Liberal,40.9
1926,Social democracy,37.2
1926,Special issue,0.8
1927,Agrarian,30.25
1927,Christian democracy,49.24
1927,Communist/Socialist,16.8
1927,Conservative,134.14999999999998
1927,Liberal,19.0
1927,Right-wing,6.32
1927,Social democracy,81.42999999999999
1927,no family,11.100000000000001
1928,Agrarian,18.96
1928,Christian democracy,17.01
1928,Communist/Socialist,28.28
1928,Conservative,85.28999999999999
1928,Liberal,73.97999999999999
1928,Right-wing,122.86999999999999
1928,Social democracy,122.58000000000001
1928,Special issue,1.57
1928,no family,11.26
1929,Agrarian,28.3
1929,Christian democracy,89.4
1929,Communist/Socialist,17.82
1929,Conservative,71.52
1929,Liberal,112.64
1929,Social democracy,171.97000000000003
1929,Special issue,0.7
1929,no family,26.73
1930,Agrarian,29.78
1930,Christian democracy,55.78
1930,Communist/Socialist,14.950000000000001
1930,Conservative,63.71999999999999
1930,Liberal,20.05
1930,Right-wing,82.93
1930,Social democracy,99.87
1931,Agrarian,6.9
1931,Communist/Socialist,1.0499999999999998
1931,Conservative,55.029999999999994
1931,Liberal,32.96
1931,Right-wing,50.7
1931,Social democracy,52.06
1931,no family,19.74
1932,Agrarian,16.34
1932,Christian democracy,58.144999999999996
1932,Communist/Socialist,37.230000000000004
1932,Conservative,159.285
1932,Liberal,77.83000000000001
1932,Right-wing,55.28000000000001
1932,Social democracy,181.695
1932,Special issue,0.71
1932,no family,11.0
1933,Agrarian,28.26
1933,Christian democracy,68.35
1933,Communist/Socialist,16.82
1933,Conservative,113.3
1933,Liberal,31.010000000000005
1933,Right-wing,51.879999999999995
1933,Social democracy,82.75
1933,no family,6.75
1934,Communist/Socialist,5.2
1934,Liberal,39.7
1934,Right-wing,43.6
1934,Social democracy,29.4
1934,no family,11.6
1935,Agrarian,3.2
1935,Communist/Socialist,2.65
1935,Conservative,65.82
1935,Liberal,40.0
1935,Right-wing,1.0
1935,Social democracy,85.95
1935,Special issue,0.8
1935,no family,0.53
1936,Agrarian,39.43
1936,Christian democracy,28.64
1936,Communist/Socialist,29.060000000000002
1936,Conservative,50.75000000000001
1936,Liberal,68.56
1936,Right-wing,28.42
1936,Social democracy,151.17000000000002
1936,no family,1.53
1937,Agrarian,2.6
1937,Christian democracy,89.6
1937,Communist/Socialist,4.3
1937,Conservative,47.1
1937,Liberal,32.699999999999996
1937,Right-wing,49.800000000000004
1937,Social democracy,56.9
1937,no family,18.099999999999998
1938,Christian democracy,33.3
1938,Conservative,51.9
1938,Social democracy,10.0
1938,no family,4.7
1939,Agrarian,28.04
1939,Christian democracy,33.58
1939,Communist/Socialist,7.050000000000001
1939,Conservative,39.0
1939,Liberal,61.279999999999994
1939,Right-wing,6.55
1939,Social democracy,120.54
1939,no family,1.96
1940,Agrarian,12.0
1940,Communist/Socialist,4.1
1940,Conservative,18.0
1940,Liberal,12.0
1940,Social democracy,53.8
1943,Agrarian,11.0
1943,Christian democracy,23.1
1943,Conservative,62.9
1943,Liberal,29.0
1943,Right-wing,4.300000000000001
1943,Social democracy,60.2
1943,no family,9.3
1944,Agrarian,24.4
1944,Christian democracy,20.5
1944,Communist/Socialist,10.5
1944,Conservative,64.7
