election_year,party_name_english,country_name,country_name_short,vote_share,seats,party_id,party_name,family_id,family_name,left_right,liberty_authority,eu_anti_pro
1946,Action Party,Italy,ITA,1.45,7.0,1330,Partito d'Azione,14,Communist/Socialist,1.3,3.0,3.3
1946,Agrarian Party,Italy,ITA,0.44,1.0,618,Partito dei Contadini d'Italia,2,Agrarian,5.3,6.5,5.4
1946,Anti-Revolutionary Party,Netherlands,NLD,12.9,13.0,300,Anti-Revolutionaire Partij,3,Christian democracy,5.8067,6.7724,8.2894
1946,Belgian Democratic Union,Belgium,BEL,2.16,1.0,1181,Union Democratique Belge,28,to be coded,,,
1946,Belgian Socialist Party,Belgium,BEL,31.6,66.0,167,Belgische Socialistische Partij – Parti Socialiste Belge,11,Social democracy,2.5,3.5,8.1
1946,Cartel of Liberals and Socialists,Belgium,BEL,1.6,4.0,1335,Kartel Liberale en Socialistische,11,Social democracy,3.3,3.5,8.1
1946,Catholic Peoples Party,Netherlands,NLD,30.81,32.0,451,Katholieke Volkspartij,3,Christian democracy,5.9473,6.6882,7.7157
1946,Christian Democrats,Italy,ITA,35.21,207.0,1633,Democrazia Cristiana,3,Christian democracy,5.6611,7.2,8.9667
1946,Christian Historical Union,Netherlands,NLD,7.84,8.0,405,Christelijk-Historische Unie,3,Christian democracy,5.8067,6.7724,8.2894
1946,Communist Party,Italy,ITA,18.93,104.0,1088,Partito Comunista Italiano,14,Communist/Socialist,1.6,3.0,3.3
1946,Communist Party of the Netherlands,Netherlands,NLD,10.56,10.0,1194,Communistische Partij Nederland,14,Communist/Socialist,0.8,3.0,5.0
1946,Conservatives,France,FRA,12.8,70.0,1297,Parti républicain de la liberté,26,Conservative,7.5636,7.2219,7.2286
1946,Francophone Christian Social Party and Flemish Christian People's Party,Belgium,BEL,42.54,92.0,1051,Parti Social Chrétien – Christelijke Volkspartij,3,Christian democracy,6.2,7.2,8.3
1946,French Communist Party,France,FRA,28.6,166.0,686,Parti communiste française,14,Communist/Socialist,1.3741,4.5083,2.3595
1946,Front of the Ordinary Man,Italy,ITA,5.27,30.0,409,Fronte dell'Uomo Qualunque,26,Conservative,7.4,7.0,7.9
1946,Gaullists,France,FRA,1.6,5.0,1094,Gaulliste,26,Conservative,8.2,7.0,7.9
1946,Italian Socialist Party,Italy,ITA,20.68,115.0,1475,Partito Socialista Italiano,11,Social democracy,3.7722,3.5,8.75
1946,Labour Party,Netherlands,NLD,28.31,29.0,742,Partij van de Arbeid,11,Social democracy,3.6118,3.2028,7.9904
1946,Liberal Party,Belgium,BEL,8.9,16.0,63,Liberale Partij – Parti libéral,6,Liberal,6.0,3.5,8.7
1946,Monarchist National Party,Italy,ITA,2.77,16.0,1050,Partito Nazionale Monarchico,40,Right-wing,8.8,8.5,2.3
1946,Movement for the Independence of Sicily,Italy,ITA,0.74,4.0,1028,Movimento Indipendentista Siciliano,16,Special issue,,,
1946,National Democratic Union,Italy,ITA,6.78,42.0,1714,Unione Democratica Nazionale,26,Conservative,7.4,7.0,7.9
1946,People's Party for Freedom and Democracy,Netherlands,NLD,6.41,6.0,1409,Volkspartij voor Vrijheid en Democratie,6,Liberal,7.3482,4.3887,5.9471
1946,Political Reformed Party,Netherlands,NLD,2.14,2.0,1251,Staatkundig Gereformeerde Partij,26,Conservative,8.7531,9.7744,2.9307
1946,Popular Republican Movement,France,FRA,26.3,158.0,1086,Mouvement républicain populaire,3,Christian democracy,8.2,7.2,8.3
1946,Rally of Republican Lefts,France,FRA,12.4,55.0,890,Rassemblement des gauches républicaines,26,Conservative,7.4,7.0,7.9
1946,Republican Democratic Concentration,Italy,ITA,0.42,2.0,2044,Concentrazione Democratica Repubblicana,6,Liberal,6.0,3.5,8.7
1946,Republican Party,Italy,ITA,4.36,23.0,93,Partito Repubblicano Italiano,6,Liberal,4.9704,5.1667,9.0278
