,country_name,country_name_short,vote_share,seats,party_id,party_name,party_name_english,election_year,family_id,family_name,left_right,liberty_authority,eu_anti_pro
315,Austria,AUT,44.0,77.0,1013,Österreichische Volkspartei,Austrian People's Party,1949,3,Christian democracy,6.4733,7.6198,8.8451
316,Austria,AUT,38.7,67.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1949,11,Social democracy,3.7293,3.4766,8.4495
317,Austria,AUT,11.7,16.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1949,40,Right-wing,8.3494,8.5149,1.9815
318,Austria,AUT,5.1,5.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1949,14,Communist/Socialist,0.5,3.0,0.0
315,Austria,AUT,44.0,77.0,1013,Österreichische Volkspartei,Austrian People's Party,1950,3,Christian democracy,6.4733,7.6198,8.8451
316,Austria,AUT,38.7,67.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1950,11,Social democracy,3.7293,3.4766,8.4495
317,Austria,AUT,11.7,16.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1950,40,Right-wing,8.3494,8.5149,1.9815
318,Austria,AUT,5.1,5.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1950,14,Communist/Socialist,0.5,3.0,0.0
315,Austria,AUT,44.0,77.0,1013,Österreichische Volkspartei,Austrian People's Party,1951,3,Christian democracy,6.4733,7.6198,8.8451
316,Austria,AUT,38.7,67.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1951,11,Social democracy,3.7293,3.4766,8.4495
317,Austria,AUT,11.7,16.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1951,40,Right-wing,8.3494,8.5149,1.9815
318,Austria,AUT,5.1,5.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1951,14,Communist/Socialist,0.5,3.0,0.0
315,Austria,AUT,44.0,77.0,1013,Österreichische Volkspartei,Austrian People's Party,1952,3,Christian democracy,6.4733,7.6198,8.8451
316,Austria,AUT,38.7,67.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1952,11,Social democracy,3.7293,3.4766,8.4495
317,Austria,AUT,11.7,16.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1952,40,Right-wing,8.3494,8.5149,1.9815
318,Austria,AUT,5.1,5.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1952,14,Communist/Socialist,0.5,3.0,0.0
320,Austria,AUT,41.3,74.0,1013,Österreichische Volkspartei,Austrian People's Party,1953,3,Christian democracy,6.4733,7.6198,8.8451
321,Austria,AUT,42.1,73.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1953,11,Social democracy,3.7293,3.4766,8.4495
322,Austria,AUT,10.9,14.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1953,40,Right-wing,8.3494,8.5149,1.9815
323,Austria,AUT,5.3,4.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1953,14,Communist/Socialist,0.5,3.0,0.0
320,Austria,AUT,41.3,74.0,1013,Österreichische Volkspartei,Austrian People's Party,1954,3,Christian democracy,6.4733,7.6198,8.8451
321,Austria,AUT,42.1,73.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1954,11,Social democracy,3.7293,3.4766,8.4495
322,Austria,AUT,10.9,14.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1954,40,Right-wing,8.3494,8.5149,1.9815
323,Austria,AUT,5.3,4.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1954,14,Communist/Socialist,0.5,3.0,0.0
320,Austria,AUT,41.3,74.0,1013,Österreichische Volkspartei,Austrian People's Party,1955,3,Christian democracy,6.4733,7.6198,8.8451
321,Austria,AUT,42.1,73.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1955,11,Social democracy,3.7293,3.4766,8.4495
322,Austria,AUT,10.9,14.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1955,40,Right-wing,8.3494,8.5149,1.9815
323,Austria,AUT,5.3,4.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1955,14,Communist/Socialist,0.5,3.0,0.0
325,Austria,AUT,46.0,82.0,1013,Österreichische Volkspartei,Austrian People's Party,1956,3,Christian democracy,6.4733,7.6198,8.8451
326,Austria,AUT,43.0,74.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1956,11,Social democracy,3.7293,3.4766,8.4495
327,Austria,AUT,6.5,6.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1956,40,Right-wing,8.3494,8.5149,1.9815
328,Austria,AUT,4.4,3.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1956,14,Communist/Socialist,0.5,3.0,0.0
325,Austria,AUT,46.0,82.0,1013,Österreichische Volkspartei,Austrian People's Party,1957,3,Christian democracy,6.4733,7.6198,8.8451
326,Austria,AUT,43.0,74.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1957,11,Social democracy,3.7293,3.4766,8.4495
327,Austria,AUT,6.5,6.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1957,40,Right-wing,8.3494,8.5149,1.9815
328,Austria,AUT,4.4,3.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1957,14,Communist/Socialist,0.5,3.0,0.0
325,Austria,AUT,46.0,82.0,1013,Österreichische Volkspartei,Austrian People's Party,1958,3,Christian democracy,6.4733,7.6198,8.8451
326,Austria,AUT,43.0,74.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1958,11,Social democracy,3.7293,3.4766,8.4495
327,Austria,AUT,6.5,6.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1958,40,Right-wing,8.3494,8.5149,1.9815
328,Austria,AUT,4.4,3.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1958,14,Communist/Socialist,0.5,3.0,0.0
330,Austria,AUT,44.2,79.0,1013,Österreichische Volkspartei,Austrian People's Party,1959,3,Christian democracy,6.4733,7.6198,8.8451
331,Austria,AUT,44.8,78.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1959,11,Social democracy,3.7293,3.4766,8.4495
332,Austria,AUT,7.7,8.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1959,40,Right-wing,8.3494,8.5149,1.9815
333,Austria,AUT,3.3,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1959,14,Communist/Socialist,0.5,3.0,0.0
330,Austria,AUT,44.2,79.0,1013,Österreichische Volkspartei,Austrian People's Party,1960,3,Christian democracy,6.4733,7.6198,8.8451
331,Austria,AUT,44.8,78.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1960,11,Social democracy,3.7293,3.4766,8.4495
332,Austria,AUT,7.7,8.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1960,40,Right-wing,8.3494,8.5149,1.9815
333,Austria,AUT,3.3,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1960,14,Communist/Socialist,0.5,3.0,0.0
330,Austria,AUT,44.2,79.0,1013,Österreichische Volkspartei,Austrian People's Party,1961,3,Christian democracy,6.4733,7.6198,8.8451
331,Austria,AUT,44.8,78.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1961,11,Social democracy,3.7293,3.4766,8.4495
332,Austria,AUT,7.7,8.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1961,40,Right-wing,8.3494,8.5149,1.9815
333,Austria,AUT,3.3,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1961,14,Communist/Socialist,0.5,3.0,0.0
334,Austria,AUT,45.4,81.0,1013,Österreichische Volkspartei,Austrian People's Party,1962,3,Christian democracy,6.4733,7.6198,8.8451
335,Austria,AUT,44.0,76.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1962,11,Social democracy,3.7293,3.4766,8.4495
336,Austria,AUT,7.0,8.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1962,40,Right-wing,8.3494,8.5149,1.9815
337,Austria,AUT,3.0,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1962,14,Communist/Socialist,0.5,3.0,0.0
334,Austria,AUT,45.4,81.0,1013,Österreichische Volkspartei,Austrian People's Party,1963,3,Christian democracy,6.4733,7.6198,8.8451
335,Austria,AUT,44.0,76.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1963,11,Social democracy,3.7293,3.4766,8.4495
336,Austria,AUT,7.0,8.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1963,40,Right-wing,8.3494,8.5149,1.9815
337,Austria,AUT,3.0,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1963,14,Communist/Socialist,0.5,3.0,0.0
334,Austria,AUT,45.4,81.0,1013,Österreichische Volkspartei,Austrian People's Party,1964,3,Christian democracy,6.4733,7.6198,8.8451
335,Austria,AUT,44.0,76.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1964,11,Social democracy,3.7293,3.4766,8.4495
336,Austria,AUT,7.0,8.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1964,40,Right-wing,8.3494,8.5149,1.9815
337,Austria,AUT,3.0,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1964,14,Communist/Socialist,0.5,3.0,0.0
334,Austria,AUT,45.4,81.0,1013,Österreichische Volkspartei,Austrian People's Party,1965,3,Christian democracy,6.4733,7.6198,8.8451
335,Austria,AUT,44.0,76.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1965,11,Social democracy,3.7293,3.4766,8.4495
336,Austria,AUT,7.0,8.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1965,40,Right-wing,8.3494,8.5149,1.9815
337,Austria,AUT,3.0,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1965,14,Communist/Socialist,0.5,3.0,0.0
338,Austria,AUT,48.35,85.0,1013,Österreichische Volkspartei,Austrian People's Party,1966,3,Christian democracy,6.4733,7.6198,8.8451
339,Austria,AUT,42.56,74.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1966,11,Social democracy,3.7293,3.4766,8.4495
340,Austria,AUT,5.35,6.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1966,40,Right-wing,8.3494,8.5149,1.9815
341,Austria,AUT,3.28,0.0,1743,Demokratische Fortschrittliche Partei,Democratic Progressive Party,1966,40,Right-wing,8.8,8.5,2.3
338,Austria,AUT,48.35,85.0,1013,Österreichische Volkspartei,Austrian People's Party,1967,3,Christian democracy,6.4733,7.6198,8.8451
339,Austria,AUT,42.56,74.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1967,11,Social democracy,3.7293,3.4766,8.4495
340,Austria,AUT,5.35,6.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1967,40,Right-wing,8.3494,8.5149,1.9815
341,Austria,AUT,3.28,0.0,1743,Demokratische Fortschrittliche Partei,Democratic Progressive Party,1967,40,Right-wing,8.8,8.5,2.3
