,country_name,country_name_short,vote_share,seats,party_id,party_name,party_name_english,election_year,election_id,family_id,family_name,left_right,liberty_authority,eu_anti_pro,turnout,enp_votes,enp_seats,disproportionality,advantage_ratio,polarization_vote,polarization_seats,calculation_date
315,Austria,AUT,44.0,77.0,1013,Österreichische Volkspartei,Austrian People's Party,1949,67,3.0,Christian democracy,6.4733,7.6198,8.8451,96.78,2.780350838014425,2.544630339284045,3.091791882251918,1.0606060606060606,0.40656096275712456,0.3793099586513927,2019-08-27 10:11:41
316,Austria,AUT,38.7,67.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1949,67,11.0,Social democracy,3.7293,3.4766,8.4495,96.78,2.780350838014425,2.544630339284045,3.091791882251918,1.0606060606060606,0.40656096275712456,0.3793099586513927,2019-08-27 10:11:41
317,Austria,AUT,11.7,16.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1949,67,40.0,Right-wing,8.3494,8.5149,1.9815,96.78,2.780350838014425,2.544630339284045,3.091791882251918,1.0606060606060606,0.40656096275712456,0.3793099586513927,2019-08-27 10:11:41
318,Austria,AUT,5.1,5.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1949,67,14.0,Communist/Socialist,0.5,3.0,0.0,96.78,2.780350838014425,2.544630339284045,3.091791882251918,1.0606060606060606,0.40656096275712456,0.3793099586513927,2019-08-27 10:11:41
315,Austria,AUT,44.0,77.0,1013,Österreichische Volkspartei,Austrian People's Party,1950,67,3.0,Christian democracy,6.4733,7.6198,8.8451,96.78,2.780350838014425,2.544630339284045,3.091791882251918,1.0606060606060606,0.40656096275712456,0.3793099586513927,2019-08-27 10:11:41
316,Austria,AUT,38.7,67.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1950,67,11.0,Social democracy,3.7293,3.4766,8.4495,96.78,2.780350838014425,2.544630339284045,3.091791882251918,1.0606060606060606,0.40656096275712456,0.3793099586513927,2019-08-27 10:11:41
317,Austria,AUT,11.7,16.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1950,67,40.0,Right-wing,8.3494,8.5149,1.9815,96.78,2.780350838014425,2.544630339284045,3.091791882251918,1.0606060606060606,0.40656096275712456,0.3793099586513927,2019-08-27 10:11:41
318,Austria,AUT,5.1,5.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1950,67,14.0,Communist/Socialist,0.5,3.0,0.0,96.78,2.780350838014425,2.544630339284045,3.091791882251918,1.0606060606060606,0.40656096275712456,0.3793099586513927,2019-08-27 10:11:41
315,Austria,AUT,44.0,77.0,1013,Österreichische Volkspartei,Austrian People's Party,1951,67,3.0,Christian democracy,6.4733,7.6198,8.8451,96.78,2.780350838014425,2.544630339284045,3.091791882251918,1.0606060606060606,0.40656096275712456,0.3793099586513927,2019-08-27 10:11:41
316,Austria,AUT,38.7,67.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1951,67,11.0,Social democracy,3.7293,3.4766,8.4495,96.78,2.780350838014425,2.544630339284045,3.091791882251918,1.0606060606060606,0.40656096275712456,0.3793099586513927,2019-08-27 10:11:41
