country_name,election_year,total_parties_seats
Austria,1949,4
Austria,1950,4
Austria,1951,4
Austria,1952,4
Austria,1953,4
Austria,1954,4
Austria,1955,4
Austria,1956,4
Austria,1957,4
Austria,1958,4
Austria,1959,3
Austria,1960,3
Austria,1961,3
Austria,1962,3
Austria,1963,3
Austria,1964,3
Austria,1965,3
Austria,1966,3
Austria,1967,3
Austria,1968,3
Austria,1969,3
Austria,1970,3
Austria,1971,3
Austria,1972,3
Austria,1973,3
Austria,1974,3
Austria,1975,3
Austria,1976,3
Austria,1977,3
Austria,1978,3
Austria,1979,3
Austria,1980,3
Austria,1981,3
Austria,1982,3
Austria,1983,3
Austria,1984,3
Austria,1985,3
Austria,1986,4
Austria,1987,4
Austria,1988,4
Austria,1989,4
Austria,1990,4
Austria,1991,4
Austria,1992,4
Austria,1993,4
Austria,1994,5
Austria,1995,5
Austria,1996,5
Austria,1997,5
Austria,1998,5
Austria,1999,4
Austria,2000,4
Austria,2001,4
Austria,2002,4
Austria,2003,4
Austria,2004,4
Austria,2005,4
Austria,2006,5
Austria,2007,5
Austria,2008,5
Austria,2009,5
Austria,2010,5
Austria,2011,5
Austria,2012,5
Austria,2013,6
Austria,2014,6
Austria,2015,6
Austria,2016,6
Austria,2017,5
Austria,2018,5
Belgium,1946,6
Belgium,1947,6
Belgium,1948,6
Belgium,1949,4
Belgium,1950,5
Belgium,1951,5
Belgium,1952,5
Belgium,1953,5
Belgium,1954,7
Belgium,1955,7
Belgium,1956,7
Belgium,1957,7
Belgium,1958,6
Belgium,1959,6
Belgium,1960,6
Belgium,1961,7
Belgium,1962,7
Belgium,1963,7
Belgium,1964,7
Belgium,1965,7
Belgium,1966,7
Belgium,1967,7
Belgium,1968,8
Belgium,1969,8
Belgium,1970,8
Belgium,1971,10
Belgium,1972,10
Belgium,1973,10
Belgium,1974,10
Belgium,1975,10
Belgium,1976,10
Belgium,1977,10
Belgium,1978,13
Belgium,1979,13
Belgium,1980,13
Belgium,1981,14
Belgium,1982,14
Belgium,1983,14
Belgium,1984,14
Belgium,1985,12
Belgium,1986,12
Belgium,1987,11
Belgium,1988,11
Belgium,1989,11
Belgium,1990,11
Belgium,1991,13
Belgium,1992,13
Belgium,1993,13
Belgium,1994,13
Belgium,1995,11
Belgium,1996,11
Belgium,1997,11
Belgium,1998,11
Belgium,1999,11
Belgium,2000,11
Belgium,2001,11
Belgium,2002,11
Belgium,2003,10
Belgium,2004,10
Belgium,2005,10
Belgium,2006,10
Belgium,2007,11
Belgium,2008,11
Belgium,2009,11
Belgium,2010,12
Belgium,2011,12
Belgium,2012,12
Belgium,2013,12
Belgium,2014,13
Belgium,2015,13
Belgium,2016,13
Belgium,2017,13
Belgium,2018,13
Belgium,2019,12
Bulgaria,1991,3
Bulgaria,1992,3
Bulgaria,1993,3
Bulgaria,1994,5
Bulgaria,1995,5
Bulgaria,1996,5
Bulgaria,1997,5
Bulgaria,1998,5
Bulgaria,1999,5
Bulgaria,2000,5
Bulgaria,2001,4
Bulgaria,2002,4
Bulgaria,2003,4
Bulgaria,2004,4
Bulgaria,2005,7
Bulgaria,2006,7
Bulgaria,2007,7
Bulgaria,2008,7
Bulgaria,2009,6
Bulgaria,2010,6
Bulgaria,2011,6
Bulgaria,2012,6
Bulgaria,2013,4
Bulgaria,2014,8
Bulgaria,2015,8
Bulgaria,2016,8
Bulgaria,2017,5
Bulgaria,2018,5
Croatia,2000,12
Croatia,2001,12
Croatia,2002,12
Croatia,2003,15
Croatia,2004,15
Croatia,2005,15
Croatia,2006,15
Croatia,2007,12
Croatia,2008,12
Croatia,2009,12
Croatia,2010,12
Croatia,2011,14
Croatia,2012,14
Croatia,2013,14
Croatia,2014,14
Croatia,2015,17
Croatia,2016,9
Croatia,2017,9
Croatia,2018,9
Cyprus,1976,4
Cyprus,1977,4
Cyprus,1978,4
Cyprus,1979,4
Cyprus,1980,4
Cyprus,1981,4
Cyprus,1982,4
Cyprus,1983,4
Cyprus,1984,4
Cyprus,1985,4
Cyprus,1986,4
