election_year,country_name,party_id,family_name,seats,vote_share
1900,Belgium,63,Liberal,31.0,22.7
1900,Belgium,2422,Social democracy,32.0,22.5
1900,Belgium,2423,Christian democracy,86.0,48.5
1900,Belgium,2481,Christian democracy,1.0,2.5
1900,Belgium,2488,no family,2.0,
1901,Denmark,590,Conservative,8.0,24.04
1901,Denmark,1605,Liberal,76.0,42.87
1901,Denmark,1629,Social democracy,14.0,17.06
1901,Denmark,2430,Liberal,16.0,11.4
1902,Belgium,63,Liberal,20.0,25.1
1902,Belgium,2422,Social democracy,10.0,15.0
1902,Belgium,2423,Christian democracy,54.0,56.0
1902,Belgium,2481,Christian democracy,1.0,2.5
1902,France,401,Conservative,75.0,10.14
1902,France,1539,Social democracy,45.0,6.31
1902,France,2585,Conservative,117.0,16.81
1902,France,2587,Liberal,175.0,29.73
1902,France,2589,Conservative,145.0,14.12
1902,France,2590,Communist/Socialist,0.0,4.09
1902,France,2592,Liberal,18.0,4.59
1903,Denmark,590,Conservative,12.0,20.49
1903,Denmark,1128,no family,1.0,
1903,Denmark,1605,Liberal,73.0,47.14
1903,Denmark,1629,Social democracy,16.0,20.07
1903,Denmark,2430,Liberal,12.0,7.99
1904,Belgium,63,Liberal,22.0,25.4
1904,Belgium,2300,no family,1.0,2.9
1904,Belgium,2422,Social democracy,19.0,25.98
1904,Belgium,2423,Christian democracy,38.0,43.5
1904,Belgium,2481,Christian democracy,1.0,1.8
1906,Belgium,63,Liberal,15.0,17.7
1906,Belgium,1335,Social democracy,14.0,19.1
1906,Belgium,2422,Social democracy,6.0,6.2
1906,Belgium,2423,Christian democracy,50.0,54.3
1906,Belgium,2481,Christian democracy,0.0,1.0
1906,Denmark,211,Liberal,9.0,12.6
1906,Denmark,590,Conservative,12.0,21.0
1906,Denmark,1128,no family,4.0,3.0
1906,Denmark,1605,Liberal,56.0,31.2
1906,Denmark,1629,Social democracy,24.0,25.4
1906,Denmark,2430,Liberal,9.0,6.8
