election_year,family_name,vote_share,eu_anti_pro,left_right,liberty_authority
1900,Christian democracy,25.5,8.3,6.2,7.2
1900,Liberal,22.7,8.7,6.0,3.5
1900,Social democracy,22.5,8.1,3.3,3.5
1900,no family,2.5,8.3,6.2,7.2
1901,Conservative,24.04,7.7791,7.2186,6.5055
1901,Liberal,27.134999999999998,8.863399999999999,6.646000000000001,4.24785
1901,Social democracy,17.06,7.4311,3.8011,4.2722
1902,Christian democracy,29.25,8.3,6.2,7.2
1902,Communist/Socialist,4.09,3.3,1.3,3.0
1902,Conservative,13.69,7.9120333333333335,6.2632,6.079366666666666
1902,Liberal,19.80666666666667,8.7,6.0,3.5
1902,Social democracy,10.655,8.0224,3.27465,3.21835
1903,Conservative,20.49,7.7791,7.2186,6.5055
1903,Liberal,27.565,8.863399999999999,6.646000000000001,4.24785
1903,Social democracy,20.07,7.4311,3.8011,4.2722
1903,no family,20.49,7.7791,7.2186,6.5055
1904,Christian democracy,22.65,8.3,6.2,7.2
1904,Liberal,25.4,8.7,6.0,3.5
1904,Social democracy,25.98,8.1,3.3,3.5
1904,no family,2.9,8.7,6.0,3.5
1906,Christian democracy,27.65,8.3,6.2,7.2
1906,Communist/Socialist,2.33,3.3,1.3,3.0
1906,Conservative,20.124000000000002,7.883039999999999,6.68164,6.34872
1906,Liberal,15.258,8.59724,6.03312,3.5772
1906,Social democracy,15.162500000000001,7.893975,3.4126,3.552225
1906,no family,3.0,7.7791,7.2186,6.5055
1908,Christian democracy,22.900000000000002,8.3,6.2,7.2
1908,Liberal,27.6,8.7,6.0,3.5
1908,Social democracy,12.950000000000001,8.1,3.3,3.5
1909,Conservative,19.8,7.7791,7.2186,6.5055
1909,Liberal,15.133333333333333,8.528733333333333,6.0552,3.6286666666666663
1909,Social democracy,28.7,7.4311,3.8011,4.2722
1909,no family,5.7,7.7791,7.2186,6.5055
1910,Christian democracy,19.003333333333334,8.3,6.2,7.2
1910,Communist/Socialist,4.09,3.3,1.3,3.0
1910,Conservative,16.336666666666666,7.8597,7.339533333333333,6.835166666666666
