election_year,country_name,party_id,vote_share
1900,Belgium,63,22.7
1900,Belgium,2422,22.5
1900,Belgium,2423,48.5
1900,Belgium,2481,2.5
1900,Belgium,2488,2.5
1901,Denmark,590,24.04
1901,Denmark,1605,42.87
1901,Denmark,1629,17.06
1901,Denmark,2430,11.4
1902,Belgium,63,25.1
1902,Belgium,2422,15.0
1902,Belgium,2423,56.0
1902,Belgium,2481,2.5
1902,France,401,10.14
1902,France,1539,6.31
1902,France,2585,16.81
1902,France,2587,29.73
1902,France,2589,14.12
1902,France,2590,4.09
1902,France,2592,4.59
1903,Denmark,590,20.49
1903,Denmark,1128,20.49
1903,Denmark,1605,47.14
1903,Denmark,1629,20.07
1903,Denmark,2430,7.99
1904,Belgium,63,25.4
1904,Belgium,2300,2.9
1904,Belgium,2422,25.98
1904,Belgium,2423,43.5
1904,Belgium,2481,1.8
1906,Belgium,63,17.7
1906,Belgium,1335,19.1
1906,Belgium,2422,6.2
1906,Belgium,2423,54.3
1906,Belgium,2481,1.0
1906,Denmark,211,12.6
1906,Denmark,590,21.0
1906,Denmark,1128,3.0
1906,Denmark,1605,31.2
1906,Denmark,1629,25.4
1906,Denmark,2430,6.8
1906,France,401,28.53
1906,France,1539,9.95
1906,France,2585,7.85
1906,France,2586,14.06
1906,France,2587,7.99
1906,France,2589,29.18
1906,France,2590,2.33
1908,Belgium,63,27.6
1908,Belgium,1335,3.3
1908,Belgium,2422,22.6
1908,Belgium,2423,43.1
1908,Belgium,2481,2.7
1909,Denmark,211,15.5
1909,Denmark,590,19.8
1909,Denmark,1128,5.7
1909,Denmark,1605,24.0
1909,Denmark,1629,28.7
1909,Denmark,2430,5.9
1910,Belgium,63,18.6
1910,Belgium,1335,19.1
1910,Belgium,2422,6.7
1910,Belgium,2423,53.1
1910,Belgium,2481,2.1
1910,Denmark,211,18.6
1910,Denmark,590,18.6
1910,Denmark,1128,0.4
1910,Denmark,1605,34.1
1910,Denmark,1629,28.3
1910,France,1328,28.3
1910,France,1539,13.15
1910,France,2581,17.43
1910,France,2585,11.44
1910,France,2587,12.06
1910,France,2589,18.97
1910,France,2590,4.09
1910,France,2593,1.81
1910,France,2594,20.45
1911,Sweden,657,31.2
1911,Sweden,892,40.2
1911,Sweden,904,28.5
1912,Belgium,63,11.1
1912,Belgium,1335,27.1
1912,Belgium,2422,9.3
1912,Belgium,2423,51.0
1912,Belgium,2481,0.7
1913,Denmark,211,18.7
1913,Denmark,590,22.4
1913,Denmark,1128,0.7
1913,Denmark,1605,28.6
1913,Denmark,1629,29.6
1914,Belgium,63,24.5
1914,Belgium,2422,30.3
1914,Belgium,2423,42.8
1914,Belgium,2481,1.7
1914,France,401,18.15
1914,France,1539,16.76
1914,France,2581,18.84
1914,France,2585,16.6
1914,France,2587,9.72
1914,France,2589,15.39
1914,France,2594,3.88
1914,Sweden,657,37.1
1914,Sweden,892,29.55
1914,Sweden,904,33.25
1914,Sweden,1461,0.2
1915,Denmark,211,0.2
1915,Denmark,590,0.2
1915,Denmark,1128,0.2
1915,Denmark,1605,0.2
1915,Denmark,1629,0.2
1917,Finland,94,12.38
1917,Finland,395,44.79
1917,Finland,585,10.9
1917,Finland,2433,1.56
1917,Finland,2434,30.17
1917,Sweden,657,24.7
1917,Sweden,892,27.6
1917,Sweden,904,31.1
1917,Sweden,1461,5.3
1917,Sweden,2556,3.1
1918,Denmark,211,20.7
1918,Denmark,590,18.3
1918,Denmark,1605,29.4
1918,Denmark,1629,28.7
1918,Denmark,2058,0.5
1918,Denmark,2429,1.3
1918,Netherlands,300,13.4
1918,Netherlands,405,6.5
1918,Netherlands,944,5.3
1918,Netherlands,1194,2.3
1918,Netherlands,1451,22.0
1918,Netherlands,2110,22.0
1918,Netherlands,2457,3.1
1918,Netherlands,2458,0.4
1918,Netherlands,2459,3.8
1918,Netherlands,2462,6.2
1918,Netherlands,2539,30.0
1918,United Kingdom,332,2.21
1918,United Kingdom,453,2.21
1918,United Kingdom,659,13.0
1918,United Kingdom,689,4.6
1918,United Kingdom,773,32.5
1918,United Kingdom,1556,20.8
1918,United Kingdom,1599,0.09
1918,United Kingdom,2296,0.3
1918,United Kingdom,2501,12.6
1918,United Kingdom,2503,1.45
1918,United Kingdom,2504,0.9
1918,United Kingdom,2508,0.5
1918,United Kingdom,2719,5.9
1919,Austria,973,40.75
1919,Austria,1013,35.93
1919,Austria,2672,5.85
1919,Austria,2673,2.02
1919,Austria,2675,2.16
1919,Austria,2676,1.9
1919,Austria,2677,1.58
1919,Austria,2678,1.12
1919,Austria,2679,1.57
1919,Austria,2686,1.49
1919,Austria,2688,1.64
1919,Austria,2689,2.27
1919,Belgium,63,17.6
1919,Belgium,2052,0.1
1919,Belgium,2300,2.4
1919,Belgium,2422,36.6
1919,Belgium,2423,35.2
1919,Belgium,2424,3.5
1919,Belgium,2488,4.7
1919,Finland,94,19.7
1919,Finland,395,38.0
1919,Finland,585,12.1
1919,Finland,1118,15.7
1919,Finland,1219,12.8
1919,Finland,2433,1.5
1919,France,401,17.69
1919,France,1328,17.69
1919,France,1539,23.36
1919,France,2581,22.66
1919,France,2585,6.28
1919,France,2587,11.07
1919,France,2589,14.2
1919,France,2594,3.52
1919,Germany,137,15.45
1919,Germany,558,37.87
1919,Germany,2289,0.38
1919,Germany,2690,7.63
1919,Germany,2691,18.32
1919,Germany,2692,10.26
1919,Germany,2693,4.66
1919,Germany,2696,0.7
1919,Germany,2697,3.77
1919,Germany,2701,0.9
1919,Luxembourg,701,15.6
1919,Luxembourg,2149,3.0
1919,Luxembourg,2290,0.7
1919,Luxembourg,2450,6.6
1919,Luxembourg,2451,6.2
1919,Luxembourg,2453,14.2
1919,Luxembourg,2527,52.8
1920,Austria,973,35.99
1920,Austria,1013,41.79
1920,Austria,2674,17.25
1920,Austria,2678,17.25
1920,Austria,2681,17.25
1920,Austria,2684,17.25
1920,Austria,2686,1.44
1920,Denmark,211,11.843333333333334
1920,Denmark,590,18.836666666666666
1920,Denmark,812,0.6
1920,Denmark,1605,34.77
1920,Denmark,1629,30.47
1920,Denmark,2058,0.7533333333333333
1920,Denmark,2429,2.63
1920,Germany,137,13.61
1920,Germany,558,21.58
1920,Germany,649,1.7
1920,Germany,2289,0.25
1920,Germany,2690,18.81
1920,Germany,2691,8.46
1920,Germany,2692,12.94
1920,Germany,2693,13.87
1920,Germany,2696,1.23
1920,Germany,2697,4.51
1920,Germany,2701,0.84
1920,Germany,2703,0.69
1920,Germany,2704,0.63
1920,Sweden,657,27.8
1920,Sweden,882,6.4
1920,Sweden,892,21.8
1920,Sweden,904,29.6
1920,Sweden,1461,7.9
1920,Sweden,2556,6.2
1921,Belgium,63,18.1
1921,Belgium,2052,0.3
1921,Belgium,2300,0.5
1921,Belgium,2422,34.9
1921,Belgium,2423,39.8
1921,Belgium,2424,2.8
1921,Belgium,2564,4.3
1921,Sweden,657,25.8
1921,Sweden,882,4.6
1921,Sweden,892,18.7
1921,Sweden,904,36.2
1921,Sweden,1461,11.0
1921,Sweden,2557,3.2
1922,Finland,94,20.3
1922,Finland,395,25.1
1922,Finland,585,12.4
1922,Finland,1118,18.2
1922,Finland,1219,9.2
1922,Finland,1292,14.8
1922,Ireland,30,7.8
1922,Ireland,280,21.8
1922,Ireland,318,21.3
1922,Ireland,2447,38.5
1922,Ireland,2523,2.3
1922,Ireland,2563,7.8
1922,Luxembourg,151,1.0
1922,Luxembourg,701,10.7
1922,Luxembourg,2450,14.9
1922,Luxembourg,2451,14.9
1922,Luxembourg,2452,14.9
1922,Luxembourg,2453,23.0
1922,Luxembourg,2527,50.4
1922,Netherlands,300,13.7
1922,Netherlands,405,10.9
1922,Netherlands,944,4.6
1922,Netherlands,1194,1.8
1922,Netherlands,1251,0.9
1922,Netherlands,1451,19.4
1922,Netherlands,2110,19.4
1922,Netherlands,2288,0.6
1922,Netherlands,2458,1.3
1922,Netherlands,2461,9.3
1922,Netherlands,2539,29.9
1922,United Kingdom,332,0.71
1922,United Kingdom,453,2.62
1922,United Kingdom,659,18.54
1922,United Kingdom,773,38.23
1922,United Kingdom,1017,10.22
1922,United Kingdom,1556,29.44
1922,United Kingdom,2514,0.1
1923,Austria,973,39.6
1923,Austria,1013,44.05
1923,Austria,2674,44.05
1923,Austria,2681,44.05
1923,Austria,2687,2.88
1923,Austria,2699,10.84
1923,Ireland,30,8.1
1923,Ireland,280,27.4
1923,Ireland,318,10.6
1923,Ireland,2216,0.5
1923,Ireland,2447,39.0
1923,Ireland,2523,0.9
1923,Ireland,2525,0.3
1923,Ireland,2563,12.1
1923,United Kingdom,332,0.4
1923,United Kingdom,453,1.0
1923,United Kingdom,659,29.7
1923,United Kingdom,773,38.0
1923,United Kingdom,1276,0.2
1923,United Kingdom,1556,30.7
1924,Denmark,211,13.0
1924,Denmark,590,18.9
1924,Denmark,812,0.6
1924,Denmark,1605,28.3
1924,Denmark,1606,1.0
1924,Denmark,1629,36.6
1924,France,401,17.86
1924,France,686,9.82
1924,France,1539,20.1
1924,France,2581,35.35
1924,France,2587,11.72
1924,France,2589,4.16
1924,Germany,137,13.415
1924,Germany,558,23.235
1924,Germany,649,10.76
1924,Germany,2289,0.11
1924,Germany,2691,5.984999999999999
1924,Germany,2692,19.965
1924,Germany,2693,9.620000000000001
1924,Germany,2695,4.765000000000001
1924,Germany,2696,0.96
1924,Germany,2697,3.4800000000000004
1924,Germany,2698,1.99
1924,Germany,2701,0.78
1924,Germany,2703,0.755
1924,Germany,2704,0.47
1924,Germany,2705,1.15
1924,Germany,2706,0.28
1924,Germany,2707,0.215
1924,Sweden,657,26.1
1924,Sweden,882,3.6
1924,Sweden,892,13.0
1924,Sweden,904,41.1
1924,Sweden,1461,10.8
1924,Sweden,2475,1.5
1924,Sweden,2477,3.9
1924,United Kingdom,332,3.9
1924,United Kingdom,453,0.49
1924,United Kingdom,659,17.6
1924,United Kingdom,689,0.28
1924,United Kingdom,773,47.2
1924,United Kingdom,1276,0.33
1924,United Kingdom,1556,32.99
1924,United Kingdom,2514,1.11
1925,Belgium,63,14.6
1925,Belgium,708,1.6
1925,Belgium,2422,39.4
1925,Belgium,2423,36.1
1925,Belgium,2424,3.9
1925,Belgium,2488,2.5
1925,Luxembourg,701,16.2
1925,Luxembourg,2149,1.4
1925,Luxembourg,2450,6.9
1925,Luxembourg,2452,5.3
1925,Luxembourg,2456,9.6
1925,Luxembourg,2527,42.6
1925,Luxembourg,2529,7.3
1925,Luxembourg,2531,2.8
1925,Luxembourg,2533,4.8
1925,Luxembourg,2536,2.4
1925,Netherlands,300,12.2
1925,Netherlands,405,9.9
1925,Netherlands,944,6.1
