election_year,country_name,vote_share
1900,Belgium,5
1901,Denmark,4
1902,Belgium,4
1902,France,7
1903,Denmark,5
1904,Belgium,5
1906,Belgium,5
1906,Denmark,6
1906,France,7
1908,Belgium,5
1909,Denmark,6
1910,Belgium,5
1910,Denmark,5
1910,France,9
1911,Sweden,3
1912,Belgium,5
1913,Denmark,5
1914,Belgium,4
1914,France,7
1914,Sweden,4
1915,Denmark,5
1917,Finland,5
1917,Sweden,5
1918,Denmark,6
1918,Netherlands,11
1918,United Kingdom,13
1919,Austria,12
1919,Belgium,7
1919,Finland,6
1919,France,8
1919,Germany,10
1919,Luxembourg,7
1920,Austria,7
1920,Denmark,7
1920,Germany,13
1920,Sweden,6
1921,Belgium,7
1921,Sweden,6
1922,Finland,6
1922,Ireland,6
1922,Luxembourg,7
1922,Netherlands,11
1922,United Kingdom,7
1923,Austria,6
1923,Ireland,8
1923,United Kingdom,6
1924,Denmark,6
1924,France,6
1924,Germany,17
1924,Sweden,7
1924,United Kingdom,8
1925,Belgium,6
1925,Luxembourg,10
1925,Netherlands,12
1926,Denmark,7
1927,Austria,5
1927,Finland,7
1927,Ireland,9
1928,France,9
1928,Germany,16
1928,Luxembourg,9
1928,Sweden,6
1929,Belgium,6
1929,Denmark,7
1929,Finland,7
1929,Netherlands,12
1929,United Kingdom,6
1930,Austria,7
1930,Finland,8
1930,Germany,16
1931,Luxembourg,9
1931,United Kingdom,10
1932,Belgium,5
1932,Denmark,8
1932,France,10
1932,Germany,15
1932,Ireland,6
1932,Sweden,8
1933,Finland,9
1933,Germany,11
1933,Ireland,5
1933,Netherlands,15
1934,Luxembourg,7
1935,Denmark,9
1935,United Kingdom,10
1936,Belgium,8
1936,Finland,8
1936,France,6
1936,Sweden,7
1937,Ireland,4
1937,Luxembourg,8
1937,Netherlands,11
1938,Ireland,4
1939,Belgium,10
1939,Denmark,10
1939,Finland,8
1940,Sweden,6
1943,Denmark,9
1943,Ireland,7
1944,Ireland,6
1944,Sweden,6
1945,Austria,4
1945,Denmark,8
1945,Finland,8
1945,France,6
1945,Luxembourg,6
1945,United Kingdom,10
1946,Belgium,7
1946,France,6
1946,Italy,13
1946,Netherlands,8
1947,Denmark,8
1947,Malta,6
1948,Finland,8
1948,Ireland,8
1948,Italy,12
1948,Luxembourg,4
1948,Netherlands,9
1948,Sweden,6
1949,Austria,5
1949,Belgium,5
1949,Germany,13
1950,Belgium,6
1950,Denmark,8
1950,Malta,7
1950,United Kingdom,8
1951,Finland,8
1951,France,6
1951,Ireland,7
1951,Luxembourg,4
1951,Malta,5
1951,United Kingdom,8
1952,Netherlands,9
1952,Sweden,6
1953,Austria,5
1953,Denmark,10
1953,Germany,11
1953,Italy,10
1953,Malta,5
1954,Belgium,8
1954,Finland,8
1954,Ireland,7
1954,Luxembourg,5
1955,Malta,3
1955,United Kingdom,7
1956,Austria,5
1956,France,10
1956,Netherlands,8
1956,Sweden,6
1957,Denmark,9
1957,Germany,7
1957,Ireland,8
1958,Belgium,6
1958,Finland,9
1958,France,9
1958,Italy,13
1958,Sweden,6
1959,Austria,4
1959,Luxembourg,5
1959,Netherlands,9
1959,United Kingdom,7
1960,Denmark,10
1960,Sweden,6
1961,Belgium,8
1961,Germany,6
1961,Ireland,8
1962,Austria,4
1962,Finland,10
1962,France,9
1962,Malta,6
1963,Italy,11
1963,Netherlands,11
1964,Denmark,9
1964,Luxembourg,5
1964,Sweden,8
1964,United Kingdom,6
1965,Belgium,8
1965,Germany,6
1965,Ireland,6
1966,Austria,4
1966,Denmark,8
1966,Finland,10
1966,Malta,5
1966,United Kingdom,7
1967,France,8
1967,Netherlands,12
1968,Belgium,8
1968,Denmark,9
1968,France,7
1968,Italy,10
1968,Luxembourg,5
1968,Sweden,8
1969,Germany,5
1969,Ireland,5
1970,Austria,4
1970,Finland,10
1970,Sweden,6
1970,United Kingdom,9
1971,Austria,4
1971,Belgium,11
1971,Denmark,10
1971,Malta,3
1971,Netherlands,15
1972,Finland,10
1972,Germany,5
1972,Italy,10
1972,Netherlands,15
1973,Denmark,14
1973,France,10
1973,Ireland,5
1973,Sweden,6
1974,Belgium,11
1974,Greece,5
1974,Luxembourg,6
1974,United Kingdom,13
1975,Austria,4
1975,Denmark,13
1975,Finland,12
1975,Portugal,9
1976,Cyprus,5
1976,Germany,5
1976,Italy,12
1976,Malta,3
1976,Portugal,6
1976,Sweden,6
1977,Belgium,11
1977,Denmark,14
1977,Greece,8
1977,Ireland,5
1977,Netherlands,12
1977,Spain,13
1978,Belgium,14
1978,France,14
1979,Austria,4
1979,Denmark,12
1979,Finland,10
1979,Italy,13
1979,Luxembourg,8
1979,Portugal,11
1979,Spain,14
1979,Sweden,6
1979,United Kingdom,11
1980,Germany,5
1980,Portugal,13
1981,Belgium,15
1981,Cyprus,7
1981,Denmark,12
1981,France,9
1981,Greece,5
1981,Ireland,8
1981,Malta,3
1981,Netherlands,11
1982,Ireland,7
1982,Netherlands,13
1982,Spain,10
1982,Sweden,7
1983,Austria,5
1983,Finland,12
1983,Germany,6
1983,Italy,14
1983,Portugal,8
1983,United Kingdom,11
1984,Denmark,14
1984,Luxembourg,6
1985,Belgium,13
1985,Cyprus,4
1985,Greece,4
1985,Portugal,9
1985,Sweden,7
1986,Austria,5
1986,France,9
1986,Netherlands,10
1986,Spain,13
1987,Belgium,12
1987,Denmark,15
1987,Finland,12
1987,Germany,6
1987,Ireland,8
1987,Italy,15
1987,Malta,3
1987,Portugal,9
1987,United Kingdom,12
1988,Denmark,14
1988,France,8
1988,Sweden,7
1989,Greece,6
1989,Ireland,9
1989,Luxembourg,8
1989,Netherlands,10
1989,Poland,5
1989,Spain,14
1990,Austria,5
1990,Czech Republic,11
1990,Denmark,14
1990,Germany,8
1990,Greece,7
1990,Hungary,12
1990,Latvia,3
1990,Lithuania,7
1990,Romania,13
1990,Slovakia,10
1990,Slovenia,14
1991,Belgium,14
1991,Bulgaria,10
1991,Cyprus,5
1991,Finland,11
1991,Poland,21
1991,Portugal,8
1991,Sweden,8
1992,Czech Republic,16
1992,Estonia,12
1992,Ireland,8
